ISO3,Country_Name,Region,CERF_Country_Name,Continent,CERF_Region
AFG,Afghanistan,Asia,Afghanistan,Asia,Southern Asia
AGO,Angola,Africa,Angola,Africa,Middle Africa
ARM,Armenia,Middle east,Armenia,Asia,Western Asia
ARM,Armenia,Asia,Armenia,Asia,Western Asia
ATG,,,Antigua and Barbuda,Americas,Latin America and the Caribbean
AZE,Azerbaijan,Middle east,Azerbaijan,Asia,Western Asia
AZE,Azerbaijan,Asia,Azerbaijan,Asia,Western Asia
BDI,Burundi,Africa,Burundi,Africa,Eastern Africa
BEN,Benin,Africa,Benin,Africa,Western Africa
BFA,Burkina Faso,Africa,Burkina Faso,Africa,Western Africa
BGD,Bangladesh,Asia,Bangladesh,Asia,Southern Asia
BGR,Bulgaria,Europe,,,
BHS,,,Bahamas,Americas,Latin America and the Caribbean
BIH,,,Bosnia and Herzegovina,Europe,Southern Europe
BLR,Belarus,Europe,,,
BOL,Bolivia,Americas,Bolivia,Americas,Latin America and the Caribbean
BRA,Brazil,Americas,Brazil,Americas,Latin America and the Caribbean
BTN,,,Bhutan,Asia,Southern Asia
CAF,CAR,Africa,Central African Republic,Africa,Middle Africa
CHL,Chile,Americas,Chile,Americas,Latin America and the Caribbean
CHN,China,Asia,China,Asia,Eastern Asia
CIV,Côte d'Ivoire,Africa,Cote d'Ivoire,Africa,Western Africa
CMR,Cameroon,Africa,Cameroon,Africa,Middle Africa
COD,DRC,Africa,Democratic Republic of the Congo,Africa,Middle Africa
COG,Congo,Africa,Republic of Congo,Africa,Middle Africa
COL,Colombia,Americas,Colombia,Americas,Latin America and the Caribbean
COM,,,Comoros,Africa,Eastern Africa
CPV,,,Cape Verde,Africa,Western Africa
CRI,Costa Rica,Americas,,,
CUB,Cuba,Americas,Cuba,Americas,Latin America and the Caribbean
CZE,Czech Republic,Europe,,,
DJI,Djibouti,Africa,Djibouti,Africa,Eastern Africa
DMA,,,Dominica,Americas,Latin America and the Caribbean
DOM,Dominican Republic,Americas,Dominican Republic,Americas,Latin America and the Caribbean
DZA,Algeria,Africa,Algeria,Africa,Northern Africa
EAF,,,Eastern Africa,Africa,Eastern Africa
ECU,Ecuador,Americas,Ecuador,Americas,Latin America and the Caribbean
EGY,Egypt,Africa,Egypt,Africa,Northern Africa
ERI,Eritrea,Africa,Eritrea,Africa,Eastern Africa
ESP,Spain,Europe,,,
EST,Estonia,Europe,,,
ETH,Ethiopia,Africa,Ethiopia,Africa,Eastern Africa
FJI,Fiji,Pacific,Fiji,Oceania,Melanesia
GEO,,,Georgia,Asia,Western Asia
GHA,Ghana,Africa,Ghana,Africa,Western Africa
GIN,,,Guinea,Africa,Western Africa
GLB,,,Global,Global,Global
GMB,Gambia,Africa,Gambia,Africa,Western Africa
GNB,,,Guinea-Bissau,Africa,Western Africa
GNQ,,,Equatorial Guinea,Africa,Middle Africa
GRC,Greece,Europe,,,
GRD,,,Grenada,Americas,Latin America and the Caribbean
GTM,Guatemala,Americas,Guatemala,Americas,Latin America and the Caribbean
HND,Honduras,Americas,Honduras,Americas,Latin America and the Caribbean
HTI,Haiti,Americas,Haiti,Americas,Latin America and the Caribbean
HUN,Hungary,Europe,,,
IDN,Indonesia,Asia,Indonesia,Asia,South-Eastern Asia
IND,India,Asia,India,Asia,Southern Asia
IRN,Iran,Middle east,Islamic Republic of Iran,Asia,Southern Asia
IRQ,Iraq,Middle east,Iraq,Asia,Western Asia
ITA,Italy,Europe,,,
JAM,Jamaica,Americas,Jamaica,Americas,Latin America and the Caribbean
